time_stamps,,,
500,21600,,
1000,23400,,21600;23400;25200;27000;28800;30600;32400;34200;36000;37800;39600;41400;43200;45000;46800;48600;50400;52200;54000;55800;57600;59400;61200;63000;64800;66600;68400;70200;72000;73800;75600;77400;79200;81000
2000,25200,,
3000,27000,,
4000,28800,,
5000,30600,,
6000,32400,,
7000,34200,,
8000,36000,,
9000,37800,,
10000,39600,,
11000,41400,,
12000,43200,,
13000,45000,,
14000,46800,,
15000,48600,,
16000,50400,,
17000,52200,,
18000,54000,,
19000,55800,,
20000,57600,,
21600,59400,,
22000,61200,,
23000,63000,,
24000,64800,,
25000,66600,,
26000,68400,,
27000,70200,,
28000,72000,,
29000,73800,,
30000,75600,,
31000,77400,,
32000,79200,,
33000,81000,,
34000,,,
35000,,,
36000,,,
37000,,,
38000,,,
39000,,,
40000,,,
41000,,,
42000,,,
43000,,,
44000,,,
45000,,,
46000,,,
47000,,,
48000,,,
49000,,,
50000,,,
51000,,,
52000,,,
53000,,,
54000,,,
55000,,,
56000,,,
57000,,,
58000,,,
59000,,,
60000,,,
61000,,,
62000,,,
63000,,,
64000,,,
65000,,,
66000,,,
67000,,,
68000,,,
69000,,,
70000,,,
71000,,,
72000,,,
73000,,,
74000,,,
75000,,,
76000,,,
77000,,,
78000,,,
79000,,,
80000,,,
81000,,,
82000,,,
